Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.8739436619718309,0.7936962750716332,0.8609168609168609,0.9405772495755518,928.2459177970886
C3-Art,0.9401408450704225,0.9011461318051576,0.9367088607594938,0.9751937984496124,1701.413902759552
C38-Politics,0.8809859154929578,0.9412607449856734,0.8860418071476737,0.8369426751592357,1251.2490203380585
C11-Space,0.8922535211267606,0.8051575931232091,0.8801879404855129,0.9706390328151986,666.4390096664429
C39-Sports,0.9077464788732394,0.839541547277937,0.8994627782041442,0.968595041322314,778.1884427070618
C19-Computer,0.9373239436619718,0.9183381088825215,0.9350838803792851,0.9524517087667161,612.673755645752
C7-History,0.9338028169014084,0.8939828080229226,0.9299552906110283,0.968944099378882,1382.729005098343
C34-Economy,0.8781690140845071,0.9068767908309455,0.8797776233495481,0.854251012145749,888.6533608436584
C32-Agriculture,0.9112676056338028,0.9742120343839542,0.9152086137281292,0.8629441624365483,795.0803060531616
Avg_score,0.9061815336463224,0.8860235593759949,0.9025937395090752,0.9256154200055341,9004.672720909119
