Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.8640845070422535,0.7550143266475645,0.8452285485164396,0.9599271402550091,752.8748509883881
C3-Art,0.9394366197183098,0.8982808022922636,0.9358208955223881,0.9766355140186916,1414.052190065384
C38-Politics,0.9063380281690141,0.9269340974212035,0.9067974772249474,0.887517146776406,978.6242818832397
C11-Space,0.9049295774647887,0.8237822349570201,0.8949416342412452,0.979557069846678,504.23027896881104
C39-Sports,0.9232394366197183,0.8624641833810889,0.9169840060929171,0.9788617886178862,646.4980673789978
C19-Computer,0.9309859154929577,0.8896848137535817,0.9268656716417911,0.9672897196261683,522.8405094146729
C7-History,0.9345070422535211,0.8911174785100286,0.9304412864622288,0.97339593114241,1233.1264724731445
C34-Economy,0.8901408450704226,0.8710601719197708,0.8862973760932944,0.9020771513353115,781.045193195343
C32-Agriculture,0.9169014084507042,0.9527220630372493,0.9185082872928177,0.8866666666666667,748.344987154007
Avg_score,0.9122848200312988,0.874562241324419,0.9068761314542299,0.9457697920316919,7581.636831521988
