Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.8253521126760563,0.6461318051575932,0.7843478260869566,0.9977876106194691,258.67612075805664
C3-Art,0.9288732394366197,0.8567335243553008,0.9221279876638396,0.998330550918197,449.83991861343384
C38-Politics,0.9225352112676056,0.8438395415472779,0.9145962732919254,0.9983050847457627,293.63612389564514
C11-Space,0.7971830985915493,0.5888252148997135,0.7405405405405405,0.9975728155339806,169.04400825500488
C39-Sports,0.8330985915492958,0.664756446991404,0.7965665236051501,0.9935760171306209,209.63103580474854
C19-Computer,0.852112676056338,0.7005730659025788,0.8232323232323233,0.9979591836734694,204.05656838417053
C7-History,0.8683098591549295,0.7335243553008596,0.8455821635012386,0.9980506822612085,443.1784644126892
C34-Economy,0.8394366197183099,0.6747851002865329,0.8051282051282052,0.9978813559322034,308.2561113834381
C32-Agriculture,0.9133802816901408,0.829512893982808,0.9039812646370025,0.9931389365351629,231.80221962928772
Avg_score,0.8644757433489828,0.7265202164915632,0.8373447897430201,0.9969558041500082,2568.1205711364746
