Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.7309859154929578,0.45415472779369626,0.6240157480314961,0.9968553459119497,499.7492263317108
C3-Art,0.8119718309859155,0.6189111747851003,0.7639257294429708,0.9976905311778291,933.6432628631592
C38-Politics,0.8169014084507042,0.6289398280802292,0.7715289982425307,0.9977272727272727,628.8411951065063
C11-Space,0.752112676056338,0.497134670487106,0.6634799235181644,0.9971264367816092,365.9412491321564
C39-Sports,0.7992957746478874,0.5931232091690545,0.7439353099730458,0.9975903614457832,429.94171929359436
C19-Computer,0.780281690140845,0.5558739255014327,0.713235294117647,0.9948717948717949,371.1977388858795
C7-History,0.7704225352112676,0.5343839541547278,0.6958955223880596,0.9973262032085561,831.906768321991
C34-Economy,0.7661971830985915,0.5257879656160458,0.6885553470919324,0.9972826086956522,593.3233978748322
C32-Agriculture,0.8154929577464789,0.6303724928366762,0.7705779334500875,0.990990990990991,597.775185585022
Avg_score,0.7826291079812207,0.5598535498248965,0.7150166451395482,0.996384616201271,5252.319743394852
