Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.7485915492957746,0.4899713467048711,0.6570605187319886,0.9970845481049563,605.946231842041
C3-Art,0.8295774647887324,0.6547277936962751,0.7906574394463668,0.9978165938864629,1147.6480796337128
C38-Politics,0.8626760563380281,0.7249283667621776,0.8384424192212095,0.9941060903732809,833.9424052238464
C11-Space,0.7725352112676056,0.5386819484240688,0.6995348837209302,0.9973474801061007,476.5398964881897
C39-Sports,0.819718309859155,0.6346704871060171,0.7758318739054292,0.9977477477477478,542.6017842292786
C19-Computer,0.7866197183098591,0.5673352435530086,0.7232876712328768,0.9974811083123426,499.46925616264343
C7-History,0.8295774647887324,0.6547277936962751,0.7906574394463668,0.9978165938864629,1075.420422554016
C34-Economy,0.7992957746478874,0.5945558739255015,0.7443946188340808,0.9952038369304557,725.3656394481659
C32-Agriculture,0.8584507042253521,0.7177650429799427,0.8329177057356609,0.9920792079207921,728.8691430091858
Avg_score,0.8118935837245697,0.619707099649793,0.7614205078083232,0.9962981341409558,6635.80285859108
