Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.8746478873239436,0.7936962750716332,0.8615863141524106,0.9421768707482994,2797.6967103481293
C3-Art,0.9373239436619718,0.8997134670487106,0.9338289962825279,0.9706336939721792,6441.257626771927
C38-Politics,0.8795774647887324,0.9426934097421203,0.8850033624747814,0.8339670468948035,3119.355591773987
C11-Space,0.8894366197183099,0.7994269340974212,0.8766692851531814,0.9704347826086956,1365.8744730949402
C39-Sports,0.9077464788732394,0.839541547277937,0.8994627782041442,0.968595041322314,1452.8913786411285
C19-Computer,0.9373239436619718,0.9197707736389685,0.9351784413692644,0.9511111111111111,1360.8716168403625
C7-History,0.9323943661971831,0.8925501432664756,0.9284649776453054,0.967391304347826,4035.4422137737274
C34-Economy,0.8753521126760564,0.9011461318051576,0.8766550522648084,0.8534599728629579,2783.000292301178
C32-Agriculture,0.9112676056338028,0.9756446991404012,0.9153225806451613,0.8620253164556962,1814.2989587783813
Avg_score,0.9050078247261345,0.8849092645654251,0.9013524209101761,0.9244216822582092,25170.68886232376
