Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.9274647887323944,0.8868194842406877,0.9231916480238629,0.9626749611197511,503.5688376426697
C3-Art,0.9830985915492958,0.9842406876790831,0.9828326180257511,0.9814285714285714,1184.8514392375946
C38-Politics,0.9176056338028169,0.9727793696275072,0.920677966101695,0.8738738738738738,847.5261931419373
C11-Space,0.9190140845070423,0.8553008595988538,0.9121466768525591,0.9770867430441899,469.4273977279663
C39-Sports,0.9309859154929577,0.8753581661891118,0.9257575757575758,0.9823151125401929,584.2937214374542
C19-Computer,0.9633802816901409,0.9656160458452722,0.9628571428571429,0.9601139601139601,505.8741545677185
C7-History,0.9647887323943662,0.9455587392550143,0.9635036496350365,0.9821428571428571,1018.5710966587067
C34-Economy,0.9253521126760563,0.9512893982808023,0.9260808926080892,0.9021739130434783,658.1976153850555
C32-Agriculture,0.9323943661971831,0.9785100286532952,0.9343365253077975,0.893979057591623,771.5532398223877
Avg_score,0.940453834115806,0.9350525310410698,0.9390427439077234,0.9461987833220553,6543.8636956214905
