Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.8492957746478873,0.6948424068767909,0.8192567567567568,0.9979423868312757,279.671019077301
C3-Art,0.9464788732394366,0.8925501432664756,0.9425113464447805,0.9983974358974359,467.3187882900238
C38-Politics,0.9401408450704225,0.8810888252148997,0.935361216730038,0.9967585089141004,339.5304136276245
C11-Space,0.819718309859155,0.6346704871060171,0.7758318739054292,0.9977477477477478,281.6576759815216
C39-Sports,0.854225352112676,0.7048710601719198,0.8261964735516373,0.9979716024340771,412.6755118370056
C19-Computer,0.8556338028169014,0.7077363896848138,0.8281642917015927,0.997979797979798,327.4129240512848
C7-History,0.9063380281690141,0.8108882521489972,0.8948616600790514,0.9982363315696648,641.4017879962921
C34-Economy,0.8760563380281691,0.7492836676217765,0.855973813420622,0.9980916030534351,467.1255249977112
C32-Agriculture,0.9394366197183098,0.8796561604584527,0.9345509893455098,0.9967532467532467,501.3153347969055
Avg_score,0.8874804381846636,0.7728430436166825,0.8680787135483798,0.9977642956867536,3718.10898065567
